#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CR1	KIT	9606.ENSP00000356016	9606.ENSP00000288135	0	0	0	0	0	0.124	0	0.398	0.450
CR1	PECAM1	9606.ENSP00000356016	9606.ENSP00000457421	0	0	0	0	0.112	0	0	0.472	0.511
DAG1	LAMA2	9606.ENSP00000442600	9606.ENSP00000400365	0	0	0	0	0.061	0.865	0.900	0.829	0.997
F2	VCAM1	9606.ENSP00000308541	9606.ENSP00000294728	0	0	0	0	0	0	0	0.641	0.641
F2	PF4	9606.ENSP00000308541	9606.ENSP00000296029	0	0	0	0	0	0	0	0.640	0.640
F2	FGB	9606.ENSP00000308541	9606.ENSP00000306099	0	0	0	0	0.615	0.845	0.900	0.662	0.997
F2	FGA	9606.ENSP00000308541	9606.ENSP00000306361	0	0	0	0	0.804	0.937	0.900	0.619	0.999
F2	PECAM1	9606.ENSP00000308541	9606.ENSP00000457421	0	0	0	0	0	0	0	0.458	0.458
F2	IL6	9606.ENSP00000308541	9606.ENSP00000385675	0	0	0	0	0	0	0	0.724	0.724
F2	SPP1	9606.ENSP00000308541	9606.ENSP00000378517	0	0	0	0	0.062	0.515	0	0.483	0.744
F2	FGG	9606.ENSP00000308541	9606.ENSP00000336829	0	0	0	0	0.811	0.860	0.900	0.645	0.998
FGA	PF4	9606.ENSP00000306361	9606.ENSP00000296029	0	0	0	0	0	0	0.900	0.292	0.926
FGA	FGB	9606.ENSP00000306361	9606.ENSP00000306099	0	0	0	0.744	0.992	0.961	0.900	0.955	0.999
FGA	SPP1	9606.ENSP00000306361	9606.ENSP00000378517	0	0	0	0	0.076	0	0.900	0.091	0.908
FGA	IL6	9606.ENSP00000306361	9606.ENSP00000385675	0	0	0	0	0	0	0.900	0.250	0.921
FGA	FGG	9606.ENSP00000306361	9606.ENSP00000336829	0	0	0	0.764	0.993	0.966	0.900	0.940	0.999
FGB	PF4	9606.ENSP00000306099	9606.ENSP00000296029	0	0	0	0	0	0	0.900	0.043	0.900
FGB	FGG	9606.ENSP00000306099	9606.ENSP00000336829	0	0	0	0.803	0.992	0.962	0.900	0.938	0.999
FGG	PF4	9606.ENSP00000336829	9606.ENSP00000296029	0	0	0	0	0	0	0.900	0.046	0.900
FGG	SPP1	9606.ENSP00000336829	9606.ENSP00000378517	0	0	0	0	0.075	0	0.900	0.088	0.908
FGG	IL6	9606.ENSP00000336829	9606.ENSP00000385675	0	0	0	0	0	0	0.900	0.220	0.918
GDF15	SPP1	9606.ENSP00000252809	9606.ENSP00000378517	0	0	0	0	0.062	0	0	0.404	0.417
GDF15	LCN2	9606.ENSP00000252809	9606.ENSP00000362108	0	0	0	0	0	0	0	0.441	0.441
GDF15	IL6	9606.ENSP00000252809	9606.ENSP00000385675	0	0	0	0	0	0	0	0.719	0.719
IL18BP	IL33	9606.ENSP00000384212	9606.ENSP00000370842	0	0	0	0	0	0	0	0.426	0.426
IL18BP	IL6	9606.ENSP00000384212	9606.ENSP00000385675	0	0	0	0	0.061	0	0	0.457	0.468
IL1RL1	KIT	9606.ENSP00000233954	9606.ENSP00000288135	0	0	0	0	0	0	0	0.455	0.455
IL1RL1	IL6	9606.ENSP00000233954	9606.ENSP00000385675	0	0	0	0	0.062	0	0	0.479	0.490
IL1RL1	IL33	9606.ENSP00000233954	9606.ENSP00000370842	0	0	0	0	0.069	0.900	0.900	0.933	0.999
IL33	KITLG	9606.ENSP00000370842	9606.ENSP00000228280	0	0	0	0	0.065	0	0	0.430	0.444
IL33	KIT	9606.ENSP00000370842	9606.ENSP00000288135	0	0	0	0	0.062	0	0	0.688	0.696
IL33	IL6	9606.ENSP00000370842	9606.ENSP00000385675	0	0	0	0	0	0	0	0.832	0.832
IL6	KITLG	9606.ENSP00000385675	9606.ENSP00000228280	0	0	0	0	0	0	0	0.768	0.768
IL6	KIT	9606.ENSP00000385675	9606.ENSP00000288135	0	0	0	0	0	0	0	0.672	0.672
IL6	VCAM1	9606.ENSP00000385675	9606.ENSP00000294728	0	0	0	0	0.083	0	0	0.891	0.896
IL6	PF4	9606.ENSP00000385675	9606.ENSP00000296029	0	0	0	0	0.064	0	0	0.544	0.555
IL6	PTGS1	9606.ENSP00000385675	9606.ENSP00000354612	0	0	0	0	0.094	0	0	0.530	0.556
IL6	LCN2	9606.ENSP00000385675	9606.ENSP00000362108	0	0	0	0	0.062	0	0	0.669	0.676
IL6	SHBG	9606.ENSP00000385675	9606.ENSP00000369816	0	0	0	0	0	0	0	0.474	0.474
IL6	IL6ST	9606.ENSP00000385675	9606.ENSP00000370698	0	0	0	0	0.052	0.875	0.900	0.774	0.997
IL6	SPP1	9606.ENSP00000385675	9606.ENSP00000378517	0	0	0	0	0.060	0	0.900	0.793	0.978
IL6	PECAM1	9606.ENSP00000385675	9606.ENSP00000457421	0	0	0	0	0	0	0	0.671	0.671
IL6ST	KITLG	9606.ENSP00000370698	9606.ENSP00000228280	0	0	0	0	0.069	0	0	0.454	0.470
ITPR2	ITPR3	9606.ENSP00000370744	9606.ENSP00000363435	0	0	0	0.969	0.053	0	0.900	0.842	0.903
KIT	KITLG	9606.ENSP00000288135	9606.ENSP00000228280	0	0	0	0	0.062	0.900	0.900	0.964	0.999
KIT	SPP1	9606.ENSP00000288135	9606.ENSP00000378517	0	0	0	0	0	0	0	0.424	0.424
KIT	VCAM1	9606.ENSP00000288135	9606.ENSP00000294728	0	0	0	0	0.063	0	0	0.569	0.579
KIT	PECAM1	9606.ENSP00000288135	9606.ENSP00000457421	0	0	0	0	0	0	0	0.783	0.783
KITLG	SPP1	9606.ENSP00000228280	9606.ENSP00000378517	0	0	0	0	0	0	0	0.453	0.453
KITLG	PECAM1	9606.ENSP00000228280	9606.ENSP00000457421	0	0	0	0	0	0	0	0.553	0.553
KITLG	VCAM1	9606.ENSP00000228280	9606.ENSP00000294728	0	0	0	0	0	0	0	0.555	0.555
LCN2	VCAM1	9606.ENSP00000362108	9606.ENSP00000294728	0	0	0	0	0.061	0	0	0.389	0.401
LCN2	SPP1	9606.ENSP00000362108	9606.ENSP00000378517	0	0	0	0	0.061	0	0	0.592	0.600
PECAM1	VCAM1	9606.ENSP00000457421	9606.ENSP00000294728	0	0	0	0	0.059	0	0	0.814	0.818
PECAM1	PF4	9606.ENSP00000457421	9606.ENSP00000296029	0	0	0	0	0.069	0	0	0.434	0.450
PECAM1	SPP1	9606.ENSP00000457421	9606.ENSP00000378517	0	0	0	0	0	0	0	0.560	0.560
PF4	VCAM1	9606.ENSP00000296029	9606.ENSP00000294728	0	0	0	0	0.061	0	0	0.448	0.460
SPP1	VCAM1	9606.ENSP00000378517	9606.ENSP00000294728	0	0	0	0	0.070	0	0	0.586	0.598
TOP1	TOP2A	9606.ENSP00000354522	9606.ENSP00000411532	0	0	0	0	0.112	0.925	0.540	0.918	0.997
