#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APOA1	APOB	9606.ENSP00000236850	9606.ENSP00000233242	0	0	0	0	0.793	0.521	0.900	0.936	0.999
APOA1	BIN1	9606.ENSP00000236850	9606.ENSP00000316779	0	0	0	0	0	0	0.540	0.081	0.559
APOA1	CRP	9606.ENSP00000236850	9606.ENSP00000255030	0	0	0	0	0.087	0	0	0.763	0.774
APOA1	APP	9606.ENSP00000236850	9606.ENSP00000284981	0	0	0	0	0.062	0.379	0.900	0.344	0.956
APOA1	LPL	9606.ENSP00000236850	9606.ENSP00000309757	0	0	0	0	0	0	0.900	0.725	0.971
APOA1	APOA2	9606.ENSP00000236850	9606.ENSP00000356969	0	0	0	0	0.902	0.379	0.900	0.873	0.999
APOA2	SERPIND1	9606.ENSP00000356969	9606.ENSP00000215727	0	0	0	0	0.562	0	0.900	0.251	0.964
APOA2	APOC3	9606.ENSP00000356969	9606.ENSP00000227667	0	0	0	0	0.796	0	0.900	0.860	0.996
APOA2	APOB	9606.ENSP00000356969	9606.ENSP00000233242	0	0	0	0	0.785	0.320	0.900	0.863	0.997
APOA2	CRP	9606.ENSP00000356969	9606.ENSP00000255030	0	0	0	0	0.106	0	0	0.447	0.484
APOA2	APP	9606.ENSP00000356969	9606.ENSP00000284981	0	0	0	0	0.061	0	0.900	0.202	0.918
APOA2	LPL	9606.ENSP00000356969	9606.ENSP00000309757	0	0	0	0	0	0	0.900	0.679	0.966
APOA2	BIN1	9606.ENSP00000356969	9606.ENSP00000316779	0	0	0	0	0	0	0.540	0	0.540
APOB	SERPIND1	9606.ENSP00000233242	9606.ENSP00000215727	0	0	0	0	0.552	0	0.900	0.268	0.964
APOB	SERPINE1	9606.ENSP00000233242	9606.ENSP00000223095	0	0	0	0	0.072	0	0	0.586	0.599
APOB	APOC3	9606.ENSP00000233242	9606.ENSP00000227667	0	0	0	0	0.688	0	0.900	0.896	0.996
APOB	CRP	9606.ENSP00000233242	9606.ENSP00000255030	0	0	0	0	0.082	0	0	0.836	0.843
APOB	BIN1	9606.ENSP00000233242	9606.ENSP00000316779	0	0	0	0	0	0	0.900	0.069	0.903
APOB	APP	9606.ENSP00000233242	9606.ENSP00000284981	0	0	0	0	0	0	0.900	0.301	0.927
APOB	LPL	9606.ENSP00000233242	9606.ENSP00000309757	0	0	0	0	0	0	0.900	0.869	0.986
APOC3	SERPIND1	9606.ENSP00000227667	9606.ENSP00000215727	0	0	0	0	0.546	0	0	0.152	0.598
APOC3	BIN1	9606.ENSP00000227667	9606.ENSP00000316779	0	0	0	0	0	0	0.540	0	0.540
APOC3	CRP	9606.ENSP00000227667	9606.ENSP00000255030	0	0	0	0	0.185	0	0	0.530	0.601
APOC3	APP	9606.ENSP00000227667	9606.ENSP00000284981	0	0	0	0	0.085	0	0.720	0.081	0.743
APOC3	LPL	9606.ENSP00000227667	9606.ENSP00000309757	0	0	0	0	0	0	0.900	0.860	0.985
APP	SERPIND1	9606.ENSP00000284981	9606.ENSP00000215727	0	0	0	0	0	0	0.900	0.082	0.904
APP	SERPINE1	9606.ENSP00000284981	9606.ENSP00000223095	0	0	0	0	0	0	0.900	0.250	0.921
APP	CRP	9606.ENSP00000284981	9606.ENSP00000255030	0	0	0	0	0	0	0	0.450	0.450
APP	COL1A2	9606.ENSP00000284981	9606.ENSP00000297268	0	0	0	0	0.062	0.472	0	0.087	0.508
APP	LPL	9606.ENSP00000284981	9606.ENSP00000309757	0	0	0	0	0.061	0	0.540	0.212	0.629
APP	BIN1	9606.ENSP00000284981	9606.ENSP00000316779	0	0	0	0	0.084	0	0.540	0.642	0.836
APP	CXCL9	9606.ENSP00000284981	9606.ENSP00000354901	0	0	0	0	0	0	0.900	0.145	0.910
APP	TGFBI	9606.ENSP00000284981	9606.ENSP00000416330	0	0	0	0	0.065	0	0.900	0.126	0.911
APP	MAPT	9606.ENSP00000284981	9606.ENSP00000340820	0	0	0	0	0.064	0.379	0	0.919	0.949
BIN1	LPL	9606.ENSP00000316779	9606.ENSP00000309757	0	0	0	0	0	0	0.540	0	0.540
BIN1	MAPT	9606.ENSP00000316779	9606.ENSP00000340820	0	0	0	0	0.061	0.472	0	0.754	0.867
COL1A1	SERPINE1	9606.ENSP00000225964	9606.ENSP00000223095	0	0	0	0	0.214	0.062	0	0.503	0.602
COL1A1	TGFBI	9606.ENSP00000225964	9606.ENSP00000416330	0	0	0	0	0.230	0.320	0	0.414	0.666
COL1A1	COL1A2	9606.ENSP00000225964	9606.ENSP00000297268	0	0	0.443	0.958	0.991	0.454	0.900	0.948	0.999
COL1A2	SERPINE1	9606.ENSP00000297268	9606.ENSP00000223095	0	0	0	0	0.149	0.062	0	0.492	0.559
COL1A2	TGFBI	9606.ENSP00000297268	9606.ENSP00000416330	0	0	0	0	0.256	0.320	0	0.429	0.686
CRP	SERPINE1	9606.ENSP00000255030	9606.ENSP00000223095	0	0	0	0	0.049	0	0	0.898	0.899
CRP	LGALS3	9606.ENSP00000255030	9606.ENSP00000254301	0	0	0	0	0	0	0	0.510	0.510
CRP	CXCL9	9606.ENSP00000255030	9606.ENSP00000354901	0	0	0	0	0.059	0	0	0.418	0.428
CRP	LPL	9606.ENSP00000255030	9606.ENSP00000309757	0	0	0	0	0	0	0	0.563	0.563
CXCL9	IL18BP	9606.ENSP00000354901	9606.ENSP00000384212	0	0	0	0	0.163	0	0	0.398	0.475
ENPP2	LGALS3	9606.ENSP00000259486	9606.ENSP00000254301	0	0	0	0	0	0	0	0.534	0.534
ENPP2	PLAU	9606.ENSP00000259486	9606.ENSP00000361850	0	0	0	0	0	0	0	0.535	0.535
HAVCR2	LGALS3	9606.ENSP00000312002	9606.ENSP00000254301	0	0	0	0	0.062	0.265	0	0.400	0.550
LGALS3	LGALS3BP	9606.ENSP00000254301	9606.ENSP00000262776	0	0	0	0	0.097	0.379	0	0.810	0.884
LPL	SERPINE1	9606.ENSP00000309757	9606.ENSP00000223095	0	0	0	0	0	0	0	0.475	0.475
PLAU	SERPINE1	9606.ENSP00000361850	9606.ENSP00000223095	0	0	0	0	0.214	0.881	0.900	0.926	0.999
PLAU	PLAUR	9606.ENSP00000361850	9606.ENSP00000339328	0	0	0	0	0.221	0.723	0.900	0.967	0.999
PLAUR	SERPINE1	9606.ENSP00000339328	9606.ENSP00000223095	0	0	0	0	0.161	0	0.900	0.895	0.990
PLAUR	TEK	9606.ENSP00000339328	9606.ENSP00000369375	0	0	0	0	0	0	0	0.534	0.534
SERPINE1	TGFBI	9606.ENSP00000223095	9606.ENSP00000416330	0	0	0	0	0.305	0	0	0.388	0.556
TEK	TIE1	9606.ENSP00000369375	9606.ENSP00000361554	0	0	0	0.922	0.222	0.379	0	0.916	0.532
